"page_id","page_title","page_is_redirect","page_len","wikidata_numeric_id","views"
"54327979","Sterling Brown (basketball)","0","23208","Q30322415","10364"
"11955","George H. W. Bush","1","175304","Q23505","272663"
"29510122","David McAllister (footballer)","0","24261","Q5237273","258"
"150996","Catherine Zeta-Jones","1","111245","Q47664","218448"
"97561","Kelly Osbourne","1","51981","Q231182","85592"
"4935360","Iorwerth Drwyndwn","0","1868","Q13129268","820"
"1190083","Ioannis Kasoulidis","1","10977","Q1671928","545"
"13826910","Craig Bowden","0","10127","Q5180758","216"
"32924874","Gabriel O'Kelly","1","856","Q5515769","34"
"83117","Henry James","1","77910","Q170509","38650"
"44087934","Alex Rodríguez (Spanish footballer)","1","10206","Q17620655","762"
"63407755","Eddie Tilley","0","2309","Q87897770","42"
"46596940","Jordan Flores","1","36437","Q19873281","767"
"12529585","Ciarán Cannon","1","15308","Q371007","435"
"929468","Aleksandr Dugin","1","113157","Q438839","76933"
"51109032","Lordina Mahama","0","28615","Q20722948","863"
"42620061","Thomas Bache (judge)","0","5325","Q16800812","67"
"3327260","Ronnie del Carmen","1","12785","Q7366035","3075"
"1280781","Paul Smith (music industry executive)","1","1779","Q7153676","105"
"28883068","Henry Thomas (athlete)","0","8854","Q5729118","180"
"1085981","Franziska van Almsick","1","12925","Q57582","1005"
"53892766","Jim Parsons (drag racer)","0","1089","Q30605776","237"
"53292901","Paul R. Rosenbaum","1","18283","Q28835658","221"
"146050","Dave Gahan","1","33449","Q488994","76725"
"54070464","Élisabeth Borne","1","33561","Q20020731","29311"
"6553252","Mary of Waltham","1","9069","Q2575533","1950"
"55404688","Thuso Mbedu","0","17691","Q28078094","88733"
"61479","Michael Caine","1","98472","Q123351","180537"
"55602323","Rizwan Ahmed (civil servant)","1","7281","Q48700498","1098"
"27105762","Jameela Jamil","0","73020","Q2404977","174296"
"248551","Corey Haim","1","82185","Q342370","168343"
"20455","Michael Jordan","1","206419","Q41421","574207"
"","Maximilian_Arland","","","",""
"5899746","Jeff Dwire","0","6614","Q4112619","1013"
"66444831","Johannes Evangelist Haller","0","5842","Q79140","52"
"43914573","Margaret, Lady of Lisarea","1","1662","Q12880754","62"
"2130120","Cory Booker","1","134855","Q1135767","64509"
"7068580","Sebastian Koch","0","22695","Q63187","16857"
"624341","Henri Debehogne","1","58339","Q380828","137"
"55317293","Munroe Bergdorf","0","20031","Q45119005","7211"
"2352102","Stephen Bowen (biologist)","0","3628","Q7608750","67"
"20513326","Lee Jung-jae","1","78640","Q491318","89404"
